satisfaction_level,last_evaluation,number_project,average_monthly_hours,left,cluster,Emp_Id
0.38,0.53,2,157,1,1,IND02438
0.8,0.86,5,262,1,0,IND28133
0.11,0.88,7,272,1,2,IND07164
0.72,0.87,5,223,1,0,IND30478
0.37,0.52,2,159,1,1,IND24003
0.41,0.5,2,153,1,1,IND08609
0.1,0.77,6,247,1,2,IND14345
0.92,0.85,5,259,1,0,IND16300
0.89,1.0,5,224,1,0,IND27336
0.42,0.53,2,142,1,1,IND41409
0.45,0.54,2,135,1,1,IND01460
0.11,0.81,6,305,1,2,IND07665
0.84,0.92,4,234,1,0,IND13556
0.41,0.55,2,148,1,1,IND20559
0.36,0.56,2,137,1,1,IND12896
0.38,0.54,2,143,1,1,IND18204
0.45,0.47,2,160,1,1,IND43525
0.78,0.99,4,255,1,0,IND21424
0.45,0.51,2,160,1,1,IND40030
0.76,0.89,5,262,1,0,IND22302
0.11,0.83,6,282,1,2,IND24750
0.38,0.55,2,147,1,1,IND08173
0.09,0.95,6,304,1,2,IND21310
0.46,0.57,2,139,1,1,IND24366
0.4,0.53,2,158,1,1,IND06318
0.89,0.92,5,242,1,0,IND22204
0.82,0.87,4,239,1,0,IND41510
0.4,0.49,2,135,1,1,IND02947
0.41,0.46,2,128,1,1,IND21633
0.38,0.5,2,132,1,1,IND41210
0.09,0.62,6,294,1,2,IND17550
0.45,0.57,2,134,1,1,IND30016
0.4,0.51,2,145,1,1,IND31764
0.45,0.55,2,140,1,1,IND21118
0.84,0.87,4,246,1,0,IND13230
0.1,0.94,6,255,1,2,IND23503
0.38,0.46,2,137,1,1,IND23009
0.45,0.5,2,126,1,1,IND16251
0.11,0.89,6,306,1,2,IND31502
0.41,0.54,2,152,1,1,IND38874
0.87,0.88,5,269,1,0,IND04297
0.45,0.48,2,158,1,1,IND29124
0.4,0.46,2,127,1,1,IND40935
0.1,0.8,7,281,1,2,IND0463
0.09,0.89,6,276,1,2,IND19955
0.84,0.74,3,182,1,0,IND29898
0.4,0.55,2,147,1,1,IND38961
0.57,0.7,3,273,1,0,IND44725
0.4,0.54,2,148,1,1,IND02198
0.43,0.47,2,147,1,1,IND24197
0.13,0.78,6,152,1,2,IND01835
0.44,0.55,2,135,1,1,IND09516
0.38,0.55,2,134,1,1,IND40870
0.39,0.54,2,132,1,1,IND21560
0.1,0.92,7,307,1,2,IND25217
0.37,0.46,2,140,1,1,IND37503
0.11,0.94,7,255,1,2,IND15216
0.1,0.81,6,309,1,2,IND21703
0.38,0.54,2,128,1,1,IND25958
0.85,1.0,4,225,1,0,IND30439
0.85,0.91,5,226,1,0,IND32895
0.11,0.93,7,308,1,2,IND36072
0.1,0.95,6,244,1,2,IND43578
0.36,0.56,2,132,1,1,IND30248
0.11,0.94,6,286,1,2,IND38757
0.81,0.7,6,161,1,0,IND26312
0.43,0.54,2,153,1,1,IND0234
0.9,0.98,4,264,1,0,IND18896
0.76,0.86,5,223,1,0,IND06323
0.43,0.5,2,135,1,1,IND09616
0.74,0.99,2,277,1,0,IND05081
0.09,0.77,5,275,1,2,IND20622
0.45,0.49,2,149,1,1,IND24625
0.09,0.87,7,295,1,2,IND34139
0.11,0.97,6,277,1,2,IND11972
0.11,0.79,7,306,1,2,IND08365
0.1,0.83,6,295,1,2,IND30334
0.4,0.54,2,137,1,1,IND36638
0.43,0.56,2,157,1,1,IND10308
0.39,0.56,2,142,1,1,IND35179
0.45,0.54,2,140,1,1,IND09604
0.38,0.49,2,151,1,1,IND04427
0.79,0.59,4,139,1,1,IND16967
0.84,0.85,4,249,1,0,IND34303
0.11,0.77,6,291,1,2,IND37496
0.11,0.87,6,305,1,2,IND10898
0.17,0.84,5,232,1,2,IND36692
0.44,0.45,2,132,1,1,IND19455
0.37,0.57,2,130,1,1,IND27490
0.1,0.79,6,291,1,2,IND17538
0.4,0.5,2,130,1,1,IND24185
0.89,1.0,5,246,1,0,IND36961
0.42,0.48,2,143,1,1,IND02719
0.46,0.55,2,129,1,1,IND05615
0.09,0.83,6,255,1,2,IND09082
0.37,0.51,2,155,1,1,IND24961
0.1,0.77,6,265,1,2,IND27342
0.1,0.84,6,279,1,2,IND27994
0.11,0.97,6,284,1,2,IND10485
0.9,1.0,5,221,1,0,IND16337
0.38,0.52,2,154,1,1,IND07521
0.36,0.52,2,147,1,1,IND10328
0.42,0.46,2,150,1,1,IND32485
0.09,0.94,7,267,1,2,IND34746
0.43,0.52,2,158,1,1,IND36536
0.24,0.46,7,224,1,2,IND06361
0.91,1.0,4,257,1,0,IND12562
0.44,0.5,2,148,1,1,IND22820
0.71,0.87,3,177,1,0,IND27386
0.4,0.49,2,155,1,1,IND39001
0.43,0.47,2,144,1,1,IND04678
0.09,0.85,6,289,1,2,IND23073
0.43,0.52,2,160,1,1,IND30104
0.9,0.96,4,258,1,0,IND15117
0.84,1.0,5,234,1,0,IND38017
0.37,0.48,2,137,1,1,IND06875
0.86,0.68,5,263,1,0,IND21577
0.11,0.84,6,251,1,2,IND26914
0.37,0.57,2,133,1,1,IND15804
0.4,0.46,2,132,1,1,IND40954
0.14,0.62,4,158,1,1,IND35990
0.4,0.46,2,135,1,1,IND37669
0.75,1.0,4,216,1,0,IND36618
0.11,0.84,6,300,1,2,IND05008
0.46,0.49,2,138,1,1,IND03262
0.11,0.92,6,260,1,2,IND11117
0.38,0.49,2,132,1,1,IND28138
0.7,0.89,3,183,1,0,IND37226
0.09,0.82,6,250,1,2,IND0521
0.37,0.45,2,151,1,1,IND13372
0.1,0.83,6,292,1,2,IND17302
0.38,0.57,2,140,1,1,IND17471
0.9,1.0,5,221,1,0,IND0881
0.44,0.51,2,138,1,1,IND32175
0.36,0.5,2,132,1,1,IND39036
0.31,0.84,7,133,1,2,IND04634
0.1,0.84,6,283,1,2,IND19947
0.42,0.48,2,129,1,1,IND02513
0.74,1.0,4,249,1,0,IND14819
0.73,0.87,5,257,1,0,IND18272
0.09,0.96,6,245,1,2,IND05552
0.45,0.53,2,155,1,1,IND18930
0.11,0.8,6,256,1,2,IND21059
0.37,0.47,2,152,1,1,IND30847
0.84,0.99,4,267,1,0,IND37054
0.41,0.46,2,151,1,1,IND01497
0.76,0.92,4,239,1,0,IND09083
0.11,0.87,6,306,1,2,IND02261
0.84,0.88,4,263,1,0,IND16957
0.39,0.5,2,147,1,1,IND17000
0.11,0.91,6,278,1,2,IND44713
0.45,0.56,2,154,1,1,IND21308
0.37,0.52,2,143,1,1,IND16549
0.4,0.52,2,155,1,1,IND16885
0.39,0.48,2,160,1,1,IND0303
0.11,0.8,6,304,1,2,IND09693
0.83,1.0,5,240,1,0,IND15384
0.11,0.92,6,305,1,2,IND23381
0.39,0.5,2,136,1,1,IND26259
0.45,0.45,2,132,1,1,IND14788
0.1,0.95,7,301,1,2,IND44000
0.9,0.98,5,243,1,0,IND14758
0.45,0.51,2,147,1,1,IND20741
0.79,0.89,5,239,1,0,IND21140
0.9,0.99,5,260,1,0,IND26885
0.11,0.84,7,296,1,2,IND06026
0.43,0.55,2,129,1,1,IND10990
0.31,0.54,5,132,1,1,IND28377
0.32,0.5,2,135,1,1,IND10806
0.45,0.57,2,158,1,1,IND03259
0.81,0.99,4,259,1,0,IND03963
0.41,0.46,2,160,1,1,IND04181
0.11,0.78,7,278,1,2,IND31430
0.1,0.88,6,284,1,2,IND31870
0.7,0.53,2,274,1,0,IND44113
0.54,0.74,4,164,1,1,IND02033
0.41,0.48,2,148,1,1,IND34753
0.38,0.5,2,140,1,1,IND35044
0.37,0.51,2,127,1,1,IND17131
0.11,0.85,6,308,1,2,IND29549
0.4,0.47,2,146,1,1,IND06962
0.1,0.84,6,261,1,2,IND08956
0.89,0.99,5,257,1,0,IND23874
0.11,0.8,6,285,1,2,IND28320
0.36,0.55,2,141,1,1,IND43812
0.4,0.46,2,127,1,1,IND02857
0.09,0.85,6,297,1,2,IND09513
0.4,0.46,2,143,1,1,IND33556
0.37,0.55,2,152,1,1,IND38080
0.44,0.51,2,156,1,1,IND43469
0.09,0.8,7,283,1,2,IND13463
0.92,0.87,4,226,1,0,IND42799
0.74,0.91,4,232,1,0,IND44570
0.09,0.82,6,249,1,2,IND33860
0.89,0.95,4,275,1,0,IND39257
0.09,0.8,6,304,1,2,IND28422
0.27,0.54,7,278,1,2,IND12179
0.1,0.91,6,287,1,2,IND16585
0.1,0.89,7,285,1,2,IND25094
0.77,0.94,5,226,1,0,IND18533
0.9,0.82,5,259,1,0,IND30817
0.39,0.5,2,135,1,1,IND06625
0.76,1.0,5,219,1,0,IND17330
0.1,0.93,6,256,1,2,IND26672
0.87,0.9,5,254,1,0,IND16687
0.38,0.5,2,153,1,1,IND19503
0.77,0.99,5,228,1,0,IND41222
0.78,0.87,4,228,1,0,IND07024
0.44,0.5,2,128,1,1,IND07912
0.38,0.52,2,153,1,1,IND28692
0.43,0.46,2,156,1,1,IND29058
0.39,0.5,4,294,1,2,IND43494
0.88,1.0,5,219,1,0,IND30367
0.45,0.46,2,153,1,1,IND08292
0.4,0.53,2,151,1,1,IND27207
0.36,0.51,2,155,1,1,IND16191
0.36,0.48,2,158,1,1,IND0682
0.9,0.98,5,245,1,0,IND28726
0.43,0.53,2,131,1,1,IND05052
0.89,0.87,5,225,1,0,IND31328
0.1,0.84,6,286,1,2,IND01489
0.37,0.5,2,135,1,1,IND06073
0.37,0.51,2,153,1,1,IND30496
0.87,0.9,5,252,1,0,IND41140
0.4,0.56,2,149,1,1,IND08304
0.9,0.97,4,258,1,0,IND12729
0.37,0.46,2,158,1,1,IND20887
0.44,0.54,2,149,1,1,IND35561
0.85,0.95,5,236,1,0,IND42660
0.78,0.98,5,239,1,0,IND24369
0.42,0.47,2,159,1,1,IND13224
0.92,0.99,5,255,1,0,IND14406
0.11,0.83,6,244,1,2,IND34424
0.42,0.56,2,134,1,1,IND27347
0.48,0.57,4,270,1,0,IND35173
0.83,0.85,4,255,1,0,IND38184
0.4,0.53,2,151,1,1,IND40084
0.43,0.45,2,135,1,1,IND06645
0.43,0.53,2,146,1,1,IND13460
0.1,0.97,7,254,1,2,IND29291
0.1,0.87,7,289,1,2,IND42842
0.37,0.46,2,156,1,1,IND10790
0.38,0.53,2,156,1,1,IND36333
0.4,0.5,2,128,1,1,IND09285
0.89,0.86,5,275,1,0,IND04368
0.45,0.46,2,155,1,1,IND16033
0.37,0.48,2,159,1,1,IND18868
0.46,0.49,2,148,1,1,IND17976
0.87,0.91,4,228,1,0,IND31925
0.11,0.84,6,298,1,2,IND0839
0.79,0.87,5,261,1,0,IND36656
0.79,0.92,5,254,1,0,IND38815
0.19,0.59,7,192,1,2,IND05341
0.87,0.98,4,248,1,0,IND20706
0.6,0.92,2,258,1,0,IND29072
0.44,0.45,2,156,1,1,IND37159
0.11,0.81,6,266,1,2,IND13032
0.42,0.54,2,156,1,1,IND19562
0.88,0.88,5,232,1,0,IND29613
0.11,0.84,6,287,1,2,IND08344
0.46,0.46,2,154,1,1,IND24283
0.82,0.97,5,263,1,0,IND44438
0.44,0.56,2,131,1,1,IND30621
0.11,0.78,6,260,1,2,IND36430
0.42,0.5,2,139,1,1,IND0369
0.84,0.93,4,251,1,0,IND02505
0.11,0.95,6,286,1,2,IND36321
0.45,0.53,2,129,1,1,IND38100
0.38,0.56,2,156,1,1,IND13212
0.38,0.86,6,139,1,2,IND25228
0.44,0.51,2,127,1,1,IND35610
0.11,0.84,6,251,1,2,IND41403
0.81,0.93,5,270,1,0,IND44935
0.09,0.96,6,296,1,2,IND09041
0.11,0.9,6,254,1,2,IND27858
0.81,0.95,5,238,1,0,IND20480
0.1,0.97,6,267,1,2,IND0818
0.74,0.89,5,229,1,0,IND10394
0.09,0.78,6,254,1,2,IND28413
0.82,0.81,4,233,1,0,IND28709
0.1,0.98,6,268,1,2,IND07271
0.27,0.56,3,301,1,2,IND07090
0.83,0.92,5,267,1,0,IND30375
0.1,0.93,6,289,1,2,IND19040
0.38,0.47,2,144,1,1,IND30483
0.4,0.56,2,148,1,1,IND40879
0.11,0.83,6,306,1,2,IND41938
0.11,0.79,6,292,1,2,IND07760
0.82,0.91,5,232,1,0,IND03264
